Monument,Latitude,Longitude
Mosquée Hassan II,33.60851719310728,-7.632841989536783
Kasbah des Oudaya,34.0313629592263,-6.835506460687691
Tour Hassan,34.02429099041685,-6.822981176031961
Ruines du Chellah,34.00685472208451,-6.820351487672288
Site des ruines de volubilis,34.07498713418576,-5.55547970815941
Site archéologique de Lixus,35.19988955739747,-6.109034075994709
Kasbah de Chefchaouen,35.16862982516982,-5.261984474143554
Banasa,34.62987717271998,-6.106179802434007
Université Al Karaouiyine,34.065160963183416,-4.973280872326421
Palais El Badâai,31.618464787280566,-7.985862303088128
La Kasbah de Taourirt,30.920157980198173,-6.899105289616159
Mausolée de Moulay Ismail,33.890883189123755,-5.563191560692032
Mosquée Koutoubia,31.624023787848277,-7.99382185282451
Palais de la Bahia,31.621917255654527,-7.981609633776209
Mausolée de Mohamed V,34.022774056301515,-6.821410101163749
La place Jemaa El-Fna ,31.625676285280992,-7.9872468761040345
Ksar d'Ait-Ben-Haddou,31.048521417202117,-7.130255753023142
La Citerne portugaise,33.25692994444598,-8.50278597605561
Sqala du Port,31.510509898687914,-9.77415368774715
Kasbah de Télouet,31.408236710438544,-7.232235969410734
Bab Rcif,34.062800477181746,-4.972474785180354
Oualili,34.04071429778805,-5.562531536778462
